gene,mean_real,mean_virtual,logFC_virtual_vs_real,pearson_r
Dock9,0.07700223,0.00038202904,-0.07379951,
Ubac2,0.20027678,0.00064375927,-0.18190862,
Gpr183,0.32305264,0.00071814493,-0.2792238,
Clybl,0.04403202,0.00043504688,-0.042655207,
Ggact,0.01281429,0.0004063022,-0.012326662,
Casp1,0.04175985,0.0004768789,-0.040434677,
Casp4,0.17698137,0.0003931355,-0.16255994,
Tmem123,0.8495423,0.0008160615,-0.61412245,
Birc2,0.4131305,0.0005829554,-0.34522465,
Izumo1r,0.20724018,0.0005841618,-0.18775293,
4931406C07Rik,0.031777114,0.00049584766,-0.030786943,
Smco4,0.17836943,0.00046654587,-0.16366522,
Chordc1,0.22410294,0.00049513247,-0.20171326,
Zfp846,0.011332581,0.0004675217,-0.010801436,
S1pr2,0.020823974,0.0003712195,-0.02023897,
Icam1,0.38835955,0.00056949316,-0.3275535,
AB124611,0.22309926,0.0004851882,-0.20090294,
Carm1,0.098029524,0.00036237505,-0.09315493,
Ldlr,0.054869153,0.00048575364,-0.052931096,
Spc24,0.026460811,0.00032093193,-0.0257959,
Tmem205,0.033740163,0.000427701,-0.03275584,
Zfp810,0.11444486,0.00029429217,-0.10806215,
Dpy19l1,0.13794425,0.00045754816,-0.1287659,
Aplp2,0.23347037,0.00047397325,-0.20935777,
St3gal4,0.062699534,0.00048323086,-0.060329285,
Slc37a2,0.026751023,0.00033858002,-0.026060946,
Vwa5a,0.10036274,0.00040218205,-0.095237784,
Gramd1b,0.059157666,0.0004796968,-0.056994352,
Ubash3b,0.21072723,0.00044235284,-0.19077894,
Tbcel,0.10575303,0.0004903181,-0.100036375,
Nectin1,0.09414832,0.00030290568,-0.089673415,
Thy1,0.7792293,0.00093052874,-0.5752502,
H2afx,0.23123246,0.0004366014,-0.20757917,
Cxcr5,0.076036654,0.00044571268,-0.07283891,
Ube4a,0.12323408,0.00050918886,-0.11570303,
Cd3g,1.3646011,0.0015390135,-0.8590715,
Jaml,0.14960524,0.0008889016,-0.1385301,
Fxyd2,0.1419486,0.0004267533,-0.13230944,
Dscaml1,0.06504694,0.00030120215,-0.06271772,
Cep164,0.1105977,0.00043245612,-0.10446597,
Sik3,0.067974664,0.00049149507,-0.065272644,
Cadm1,0.038204096,0.00029350526,-0.037198927,
Il18,0.08249742,0.00037996614,-0.0788909,
Sik2,0.151412,0.0004268445,-0.14056225,
Pou2af1,0.10151248,0.00045293607,-0.09623138,
Zc3h12c,0.049580164,0.00042897588,-0.047961358,
Etfa,0.22407965,0.00055055553,-0.20163885,
Scaper,0.06533875,0.00042732275,-0.0628656,
Tspan3,0.12807208,0.0004572527,-0.12005291,
Sin3a,0.12734811,0.0004353152,-0.11943285,
Neil1,0.029263552,0.0004037158,-0.028439913,
Scamp2,0.20549202,0.00055102335,-0.18633693,
Pml,0.0960585,0.0007477734,-0.09097307,
Stoml1,0.052985318,0.00048730636,-0.051142104,
Nptn,0.15959227,0.00042605202,-0.1476425,
Arih1,0.31521896,0.00052059843,-0.2734827,
Parp6,0.06780176,0.00041612907,-0.06518607,
Pkm,0.99262685,0.000811229,-0.68864286,
Kif23,0.067826696,0.00040860183,-0.065216936,
Glce,0.013290403,0.00038341174,-0.012819523,
Map2k1,0.054675594,0.00042774033,-0.052805576,
Tipin,0.16546527,0.00036883893,-0.15275161,
Rab11a,0.19951038,0.00046758988,-0.18144599,
Dennd4a,0.26094198,0.000514528,-0.23134464,
Plekho2,0.21070576,0.00048475247,-0.19071883,
Pclaf,0.07762962,0.00043957567,-0.07432435,
Rab8b,0.2881202,0.0004922691,-0.25269178,
Rps27l,0.8233625,0.0006737873,-0.6000088,
Lactb,0.13702787,0.00041836244,-0.12799945,
Anxa2,0.44867954,0.00062378275,-0.37002888,
Bnip2,0.2911089,0.0005331425,-0.25496846,
Myo1e,0.044884138,0.00045038995,-0.043455716,
Ccnb2,0.076147765,0.00034489878,-0.07304294,
Mindy2,0.20036508,0.00047586142,-0.18214999,
Mns1,0.06615358,0.00042413585,-0.063633345,
Nedd4,0.24187997,0.00044016042,-0.21618629,
Myo5a,0.053263687,0.00047372645,-0.051420003,
Gclc,0.1121273,0.00041545648,-0.105859295,
Mb21d1,0.07810588,0.00049446244,-0.074711345,
Myo6,0.046326615,0.00031474873,-0.04497087,
Hmgn3,0.13614458,0.00046419914,-0.12717648,
Fam46a,0.23565519,0.00051938655,-0.2110821,
Cyb5r4,0.18557853,0.00051915954,-0.16971184,
Nt5e,0.045332186,0.00036893124,-0.043965854,
Bcl2a1d,0.17202203,0.0005274128,-0.15820321,
Bcl2a1a,0.12663402,0.00037686888,-0.118857644,
Bcl2a1b,0.41569054,0.0006456115,-0.34697202,
Tmed3,0.12661238,0.0006387969,-0.118576646,
Ctsh,0.45776117,0.0006080209,-0.37629396,
Plscr1,0.025259644,0.00042186934,-0.024524111,
Gk5,0.0,0.00035654238,0.00035647882,
Faim,0.19067496,0.00045983138,-0.17406061,
Cep70,0.052453734,0.00032439432,-0.050799984,
Trf,0.052546833,0.00042868595,-0.050784186,
1300017J02Rik,0.085127026,0.00037163644,-0.08132549,
Dnajc13,0.15311168,0.00048453212,-0.14197968,
Atp2c1,0.23316947,0.00044047064,-0.20914729,
Ppm1m,0.19959195,0.0004386573,-0.18154289,
Tex264,0.18602967,0.00051225687,-0.1700992,
Manf,0.4818032,0.0006603098,-0.39259964,
Cish,0.04241797,0.00043063,-0.04111245,
Hyal2,0.044024892,0.00031046785,-0.04277291,
Dag1,0.03523151,0.0003595075,-0.03426564,
Gpx1,0.87246084,0.0007937294,-0.62646013,
Wdr6,0.009862435,0.0003690103,-0.009445176,
Arih2,0.044028573,0.00037233214,-0.042714592,
Cdc25a,0.05368844,0.00039328885,-0.051903598,
Ptpn23,0.029193865,0.00043313784,-0.028342796,
Als2cl,0.15725836,0.0004814815,-0.14557235,
Ccrl2,0.04018622,0.00040557166,-0.03899426,
Pdcd6ip,0.31621808,0.0005241192,-0.27423853,
Eomes,0.07765002,0.0006285101,-0.07415445,
Cx3cr1,0.02276421,0.00031176294,-0.022197258,
Zkscan7,0.05431083,0.0002838391,-0.052603513,
Tmem158,0.0672348,0.00036751747,-0.06470356,
Sacm1l,0.07377743,0.00045330366,-0.07072954,
Ccr9,0.12559848,0.00058943866,-0.1177256,
Xcr1,0.05761353,0.00040875465,-0.05560631,
Ccr1,0.08425939,0.00048201648,-0.080415264,
Ccr2,0.20019439,0.00052030256,-0.18196337,
Ccr5,0.13566159,0.00054232636,-0.12667319,
Pik3ip1,0.23102902,0.0005159857,-0.20733456,
Selenom,0.09285783,0.00033015208,-0.088466026,
Sf3a1,0.18135762,0.00047510935,-0.16618931,
Ascc2,0.03490137,0.0005032784,-0.033802975,
Nefh,0.03781781,0.0003975245,-0.036722805,
Xbp1,0.3009895,0.0005133638,-0.2626119,
Mrps24,0.54047537,0.0006144614,-0.43147677,
Dbnl,0.4600306,0.00074526406,-0.3777124,
Myo1g,0.3849877,0.00062807975,-0.32506338,
Tns3,0.057861455,0.00033794242,-0.055911493,
Fignl1,0.02276421,0.0003214956,-0.022187527,
Plek,0.24720609,0.000521149,-0.22038491,
Aftph,0.16860913,0.0004823362,-0.15533204,
0610010F05Rik,0.06394598,0.0003717232,-0.061612964,
Pex13,0.14981134,0.0004199702,-0.139178,
Bcl11a,0.12949368,0.000417265,-0.12135228,
Fancl,0.047065757,0.00043081815,-0.045561012,
Vrk2,0.2281353,0.0004051403,-0.20509195,
Ccdc88a,0.27723628,0.0003872562,-0.2443114,
Rtn4,0.35143283,0.0006386999,-0.30052692,
Snrnp25,0.23476703,0.00038782432,-0.21049458,
Hba-a1,0.08441648,0.0010835811,-0.079959035,
Npm1,2.1815486,0.0016378848,-1.1557316,
Ebf1,0.29807335,0.00055485277,-0.26032645,
Lsm11,0.08597482,0.0004079456,-0.08207018,
Havcr2,0.036483955,0.00034274723,-0.03549148,
Timd4,0.14652503,0.00042545423,-0.13631028,
Trim7,0.061894454,0.00036708848,-0.059687514,
Irgm1,0.20961055,0.0006998827,-0.1895988,
Tgtp1,0.0389512,0.00037647918,-0.037835337,
Ifi47,0.5001791,0.00091199,-0.40467292,
Mgat4b,0.07542401,0.00034798877,-0.07236709,
Ltc4s,0.119690835,0.00030073413,-0.112751916,
Phykpl,0.039111372,0.00037701897,-0.03798895,
Gm26551,0.066273175,0.0005485369,-0.06362117,
Tcf7,0.97787637,0.0008885939,-0.6811355,
Vdac1,0.440903,0.00047849322,-0.3647916,
Aff4,0.20870093,0.0004264668,-0.18911979,
Irf1,0.43734542,0.0008944809,-0.36190388,
Pdlim4,0.0602698,0.00042148112,-0.05810201,
Fnip1,0.12909093,0.00044537793,-0.12096755,
Gm2a,0.52622086,0.0005760718,-0.42221874,
Atox1,0.86705744,0.0006878012,-0.6236761,
Igtp,0.2354976,0.0008131748,-0.21066095,
Irgm2,0.03664665,0.0005970359,-0.03539427,
Hist3h2a,0.067817286,0.0004960668,-0.065120704,
Mprip,0.099783525,0.00044843616,-0.09466503,
Trpv2,0.13462833,0.00044498488,-0.12586024,
Mmgt2,0.122117266,0.0005279995,-0.114689454,
Gas7,0.055659153,0.0003550426,-0.05381038,
9330160F10Rik,0.00921073,0.00038784245,-0.008780803,
Borcs6,0.1923973,0.0003562767,-0.1756096,
Cd68,0.09200368,0.00040947003,-0.08760486,
Ctdnep1,0.20256945,0.00053276226,-0.18392785,
Gabarap,1.275895,0.00091161503,-0.8214622,
Dvl2,0.06404572,0.0004674226,-0.06161105,
Mgl2,0.0,0.00048602867,0.0004859106,
Clec10a,0.05350019,0.00035105378,-0.051767144,
Cxcl16,0.21504633,0.0004977035,-0.19428462,
Zmynd15,0.12621967,0.00041490703,-0.11845178,
Tm4sf5,0.05130577,0.00036494198,-0.04966811,
Eno3,0.119613744,0.0004558624,-0.112528,
Kif1c,0.07122038,0.00039127492,-0.06840734,
Scimp,0.04424164,0.0005212748,-0.04276978,
Rpain,0.06426682,0.00038743808,-0.06189877,
Txndc17,0.5354988,0.00062021444,-0.4282353,
Xaf1,0.18582927,0.0006742925,-0.16976826,
Atp2a3,0.22697005,0.00042079858,-0.20412704,
Itgae,0.114353135,0.00040269984,-0.10787147,
Tax1bp3,0.044140678,0.00044444855,-0.042749878,
Rpa1,0.18073733,0.00047505557,-0.16566415,
Smyd4,0.024832021,0.00036154783,-0.024167236,
Myo1c,0.16410029,0.00047858153,-0.15147005,
Rflnb,0.16154401,0.00054592633,-0.1492044,
Glod4,0.18446273,0.00055868033,-0.16873075,
Timm22,0.17924729,0.0004672207,-0.16440925,
Unc119,0.07473252,0.00035966103,-0.07171222,
Tnfaip1,0.060673133,0.00052352133,-0.058380354,
Tmem97,0.04552073,0.00035091626,-0.044164214,
Nlk,0.13585179,0.0004817247,-0.12690124,
Lgals9,0.21792956,0.0007163204,-0.19643629,
Evi2a,0.21152855,0.00052928086,-0.1913537,
Atad5,0.035696507,0.00036266053,-0.03471156,
Adap2,0.0,0.0003371346,0.0003370778,
Psmd11,0.251088,0.00045455716,-0.22355911,
Ccl2,0.0,0.0004150385,0.0004149524,
Ccl12,0.09740923,0.0006281524,-0.092324205,
Ccl8,0.10160416,0.00041686834,-0.09635067,
Slfn5,0.2399296,0.001011487,-0.21404363,
Slfn9,0.017373743,0.00041717704,-0.016807454,
Ccl5,1.4088892,0.0016612886,-0.8775058,
Ccl9,0.035961755,0.00038721468,-0.03494309,
Ccl6,0.048403203,0.0004968971,-0.046771474,
