gene,mean_real,mean_virtual,logFC_virtual_vs_real,pearson_r
Arhgap29,0.03930046,0.00034745754,-0.038200457,
Bcar3,0.046326615,0.00038540436,-0.04490024,
Fnbp1l,0.08795633,0.00042425885,-0.08387684,
Synpo2,0.094006956,0.00039159934,-0.089455545,
Elovl6,0.058117297,0.0003760868,-0.05611518,
Casp6,0.12651378,0.00041573626,-0.11871206,
Mcub,0.092064336,0.00039798746,-0.08767189,
Ints12,0.057286948,0.00035793218,-0.055348277,
Cenpe,0.09135915,0.00031505676,-0.08710884,
Bank1,0.23862222,0.00043860453,-0.21356115,
H2afz,1.4802192,0.0012412018,-0.9071065,
Dnajb14,0.13722165,0.00039691955,-0.12819129,
Pdlim5,0.10225777,0.00038592602,-0.096974745,
Gbp2,0.12587526,0.00075955025,-0.11780149,
Lmo4,0.13288082,0.00050410663,-0.12425981,
Sh3glb1,0.61453635,0.0007173599,-0.4783307,
2410004B18Rik,0.11068533,0.00043793346,-0.1045394,
Ifi44,0.021195017,0.00062541885,-0.020348303,
Pigk,0.11308142,0.0004509251,-0.10668141,
Lyn,0.19680148,0.0003483202,-0.1793043,
Tox,0.29052022,0.00046181018,-0.25458372,
Asph,0.0,0.00043176798,0.0004316748,
Virma,0.11357401,0.0004760304,-0.10709875,
Gem,0.11069918,0.00058261456,-0.104407266,
Tmem55a,0.07200671,0.0003692334,-0.06916315,
Tmem64,0.052666098,0.0004640861,-0.05086211,
Rmdn1,0.037916455,0.00041453022,-0.03680085,
Ggh,0.0986393,0.00041984033,-0.093652666,
Usp45,0.024042029,0.00044163127,-0.023316035,
Mdn1,0.15708971,0.0003719605,-0.1455361,
3110043O21Rik,0.059582017,0.0003558546,-0.057518717,
Ddx58,0.13890345,0.0007692946,-0.12929691,
Il11ra1,0.03538707,0.00035519022,-0.03442021,
Cd72,0.12689608,0.0005045418,-0.118962616,
Tpm2,0.014843761,0.00036259816,-0.014372138,
Glipr2,0.3650919,0.0006224277,-0.3105995,
Pax5,0.03917745,0.00039114917,-0.038038414,
Trmo,0.06505843,0.0004925947,-0.062537186,
Nr4a3,0.080974564,0.00047507233,-0.07738805,
Mrpl50,0.10774939,0.00042837329,-0.10190209,
Slc44a1,0.06009635,0.0003622322,-0.057997636,
Fktn,0.025877958,0.00041283225,-0.025136044,
Klf4,0.12409167,0.0004403875,-0.11653501,
Txn1,0.910761,0.0008156117,-0.6466863,
Snx30,0.02341687,0.00043823142,-0.022708766,
Slc31a2,0.06132587,0.00049045205,-0.059028618,
Rgs3,0.18738438,0.00044235445,-0.17131063,
Tmem268,0.04432966,0.0003888362,-0.042986445,
Hacd4,0.011332581,0.00040537215,-0.010863558,
Cdkn2b,0.04929097,0.00037103138,-0.047743708,
Plaa,0.12429928,0.00043897942,-0.11672109,
Jun,0.73809373,0.00083132024,-0.551958,
Nfia,0.05550654,0.00038320347,-0.053637654,
Leprot,0.09160916,0.0004068185,-0.087246165,
Dhcr24,0.051201783,0.00034424893,-0.049589872,
Ssbp3,0.17928107,0.0004312603,-0.16447382,
Hspb11,0.22855404,0.0005077235,-0.20533031,
Yipf1,0.16696091,0.0005004689,-0.15390252,
Lrp8,0.021082358,0.00038035755,-0.020482915,
Cc2d1b,0.05730187,0.00053875794,-0.055181645,
Txndc12,0.06429599,0.00040918143,-0.06190444,
Cdkn2c,0.019110212,0.00036082478,-0.018569147,
Faah,0.1152362,0.00059979496,-0.1084666,
Toe1,0.020893482,0.0004845552,-0.020193769,
Btbd19,0.024534026,0.00046486763,-0.02377314,
Gm12840,0.21809474,0.00066844176,-0.19661973,
Szt2,0.04368616,0.0003903805,-0.042368524,
Cdc20,0.05643703,0.00027638438,-0.054625608,
AU022252,0.102813825,0.00042127116,-0.09744375,
Ccdc30,0.052664455,0.0004462941,-0.05087833,
Hivep3,0.011332581,0.0005092341,-0.010759744,
Ctps,0.06798049,0.00034915173,-0.06542038,
Ppt1,0.36035672,0.00046166053,-0.30728543,
Mycl,0.0236705,0.00038717384,-0.0230076,
Macf1,0.5509819,0.0009012156,-0.4379874,
Cdca8,0.08077057,0.00027505358,-0.077399254,
Gnl2,0.1415101,0.0005359806,-0.1318162,
Zc3h12a,0.089801475,0.00042766557,-0.08556797,
Csf3r,0.09048256,0.00035931251,-0.08626107,
Ago1,0.06497155,0.00046092388,-0.062487267,
Ncdn,0.047311455,0.0004047138,-0.04582173,
AU040320,0.009436342,0.00035961802,-0.009032545,
Zmym4,0.079376854,0.0004207703,-0.07596321,
Tmem35b,0.027146481,0.00041937962,-0.026365258,
Smim12,0.070599794,0.0004201963,-0.067798935,
Rnf19b,0.2865641,0.00042729764,-0.25154796,
Marcksl1,0.36282572,0.0006108938,-0.30894956,
Iqcc,0.011603677,0.00041236499,-0.01112459,
Sdc3,0.13503765,0.00047704455,-0.12618889,
Snhg12,0.39323908,0.00074062974,-0.33089095,
Atpif1,0.58839524,0.0007359803,-0.4619885,
Ptafr,0.038935684,0.00033859868,-0.03785827,
